Submission ID,Respondent ID,Submitted at,Name,LinkedIn,(Previous) Role,Location,Do you already have a specific problem space in mind?,Provide a brief description,What are your preferred areas to build in?,When are you available full-time?,What is your Email (for contact purposes)?,Do you want to be included in our newsletter (anonymized)?,Provide a short description about yourself/your project and what you are looking for,Untitled long answer field
OwD8kmQ,fDkjEX6,2026-03-01 23:12:56,Bogdan Sahin,https://linkedin.com/in/bogdan-sahin-775,BD Manager,Lisbon,Yes,,"Robotics / physical AI, Cybersecurity",In the next 6 months,bogdan82@outlook.com,No,Product manager with domain expertise in healthcare operations. Seeking a technical co-founder for a HealthTech project.,
k1FYuho,IE9WVVI,2026-01-10 16:01:41,Nadia Bernard,https://linkedin.com/in/nadia-bernard-757,VP Product,Dublin,No,,Consumer AI,In the next 3 months,nadiaber@icloud.com,Yes,Strategy consulting background at a Big 4. Want to build in B2B SaaS. Looking for someone technical.,
8WL1gIF,khmwTRV,2026-03-11 01:52:46,Lucas Durand,https://linkedin.com/in/lucas-durand-137,Senior ML Engineer,Brussels,No,,Developer tools,In 6-12 months,lucas15@yahoo.com,Yes,"Freelance engineer, multiple failed side projects, learned a lot. Ready to commit to a co-founder relationship.",
8VaZDrk,qSzNpUG,2025-12-20 06:44:40,Mikael Weber,https://linkedin.com/in/mikael-weber-573,Senior Software Engineer,Warsaw,Yes,EdTech: specifically adaptive learning for adult upskilling and professional certifications.,"Data infrastructure, FinTech",In the next 3 months,mweber@icloud.com,Yes,CTO at an early-stage startup looking for a business-minded co-founder to help with GTM and fundraising.,
wbjaX6f,t8kdVON,2026-02-22 06:27:33,Bjorn Moreau,https://linkedin.com/in/bjorn-moreau-897,ML Engineer,Paris,Yes,,"Biotech, Open source tooling",Already full time,bjorn90@hey.com,No,Previously led product at a growth-stage startup. Interested in climate tech or future of work.,
arG5RBm,HWOR3Wz,2026-03-11 22:20:33,Cameron Baumann,https://linkedin.com/in/cameron-baumann-999,Software Engineer,Helsinki,No,,"Robotics / physical AI, FinOps",In the next 3 months,cameron_baumann@gmail.com,Yes,Engineer with experience in fintech. Interested in open banking or wealth management tooling.,
9rfIGUj,bXKoVT9,2026-01-28 13:14:17,Quinn Choi,https://linkedin.com/in/quinn-choi-923,Pre-Founder,Madrid,Yes,Interested in the compliance and regulatory reporting space for mid-market financial services firms.,"Data infrastructure, Robotics / physical AI, FinTech",Already full time,quinn_choi@pm.me,No,Strategy consulting background at a Big 4. Want to build in B2B SaaS. Looking for someone technical.,
6BJavoU,KS6P0os,2026-02-11 10:12:27,Skyler Yamamoto,https://linkedin.com/in/skyler-yamamoto-871,Senior ML Engineer,Amsterdam,Yes,,"Consumer AI, HealthTech, Developer tools",In the next 3 months,skyler_yamamoto@icloud.com,No,"Freelance engineer, multiple failed side projects, learned a lot. Ready to commit to a co-founder relationship.",
lWCjAzf,AinePyI,2026-02-12 08:02:59,Jamie Hansen,https://linkedin.com/in/jamie-hansen-981,CEO,Dublin,No,,HealthTech,In 6-12 months,jamie86@outlook.com,Yes,Strategy consulting background at a Big 4. Want to build in B2B SaaS. Looking for someone technical.,
8ZihSiR,1hnDU6w,2026-01-21 04:54:06,Jamie Martin,https://linkedin.com/in/jamie-martin-426,CTO,Edinburgh,No,,"Cybersecurity, Biotech, Future of Work",Already full time,jamiemar@pm.me,No,Senior software engineer looking to transition from employment to founding. Interested in developer tools or AI infra.,
hsxsbiW,A6srlTa,2026-02-18 08:18:23,Hana Jung,https://linkedin.com/in/hana-jung-205,Platform Engineer,Dublin,Yes,,"AgriTech, HRTech",In the next 6 months,hjung@pm.me,Yes,Ex-consultant turned indie hacker. Interested in vertical SaaS for underdigitised industries. Looking for a technical partner.,
ZZiiNVP,jTfMMy3,2025-12-09 16:14:07,Petra Sousa,https://linkedin.com/in/petra-sousa-633,Product Manager - AI,Edinburgh,Yes,Climate: Scope 3 emissions data for supply chains. Corporates have the pressure but lack the tooling.,"HRTech, AgriTech, Biotech",Already full time,petra11@fastmail.com,Yes,Previously led product at a growth-stage startup. Interested in climate tech or future of work.,
NVtNNf7,HU7GUFb,2026-02-25 00:58:40,Quinn Watanabe,https://linkedin.com/in/quinn-watanabe-423,Senior ML Engineer,Budapest,No,,"AI / ML infrastructure, EdTech, B2B SaaS",In the next 3 months,qwatanabe@hey.com,No,Engineer with 6 years in backend systems looking for a product-minded co-founder to explore B2B automation tooling.,
Lyc1bBz,1tphgki,2026-01-23 09:25:05,Leon Greco,https://linkedin.com/in/leon-greco-889,Principal Engineer,Munich,No,,AgriTech,In the next 6 months,leongre@yahoo.com,Yes,CTO at an early-stage startup looking for a business-minded co-founder to help with GTM and fundraising.,
7lSsgi3,p63doLo,2025-12-18 09:41:57,Camila Huber,https://linkedin.com/in/camila-huber-806,Solutions Architect,Madrid,Yes,,"EdTech, Developer tools",In 6-12 months,camilahub@icloud.com,No,Ex-consultant turned indie hacker. Interested in vertical SaaS for underdigitised industries. Looking for a technical partner.,
zo2q7Pp,IWszfNm,2026-01-22 06:58:15,Nadia Patel,https://linkedin.com/in/nadia-patel-110,AI Engineer,Dublin,Yes,"Focused on the intersection of AI and physical operations — logistics, warehousing, last-mile delivery.","FinOps, Cybersecurity",In the next 6 months,npatel@proton.me,Yes,"PhD in ML, exploring commercialisation. Open to any sector where deep learning adds genuine defensibility.",
7MOkd5q,pQ90n0r,2026-01-02 15:48:51,Selin Kim,https://linkedin.com/in/selin-kim-816,Founder,Budapest,No,,"Cybersecurity, FinOps, Biotech",In the next 3 months,selinkim@hey.com,Yes,"Freelance engineer, multiple failed side projects, learned a lot. Ready to commit to a co-founder relationship.",
hiIrAL7,tQvqUCp,2026-03-14 17:02:11,Tobias Dubois,https://linkedin.com/in/tobias-dubois-429,Technical Co-Founder,Budapest,No,,"AI / ML infrastructure, Robotics / physical AI",In the next 6 months,tdubois@icloud.com,No,"Former VC analyst, now looking to build. Interested in FinTech and data infrastructure. Need a technical lead.",
5LaakIR,Eyf2OH3,2026-01-10 21:34:42,Diego Holmberg,https://linkedin.com/in/diego-holmberg-880,Indie Hacker,Munich,No,,"Data infrastructure, B2B SaaS, FinTech",In 6-12 months,diegohol@fastmail.com,No,Previously led product at a growth-stage startup. Interested in climate tech or future of work.,
hwlaUVQ,RlYMYn8,2025-12-24 23:09:30,Elliot Kowalski,https://linkedin.com/in/elliot-kowalski-252,Indie Hacker,Lisbon,Yes,Climate: Scope 3 emissions data for supply chains. Corporates have the pressure but lack the tooling.,"Supply chain, Consumer AI",Already full time,elliot.kowalski@fastmail.com,Yes,Full-stack engineer shipping solo projects. Ready to go full time on the right idea with the right person.,
1JEIOJQ,JeheqJo,2026-03-06 16:47:27,Theo Andersson,https://linkedin.com/in/theo-andersson-682,Solutions Architect,Stockholm,No,,"Supply chain, Climate / GreenTech, B2B SaaS",In the next 6 months,theo87@hey.com,Yes,Product manager with domain expertise in healthcare operations. Seeking a technical co-founder for a HealthTech project.,
N6d6A9q,QCwV2nr,2025-12-05 11:44:07,Cameron Park,https://linkedin.com/in/cameron-park-666,Research Engineer,Helsinki,No,,"FinOps, PropTech, Supply chain",In 6-12 months,cameron61@yahoo.com,Yes,"PhD in ML, exploring commercialisation. Open to any sector where deep learning adds genuine defensibility.",
9nQ74mu,dMbAbX5,2026-02-26 03:50:46,Kai Richter,https://linkedin.com/in/kai-richter-434,ML Engineer,Stockholm,Yes,Mental health tooling for enterprises — not consumer wellness apps but proper clinical pathways.,"Climate / GreenTech, Data infrastructure",In the next 3 months,kai_richter@gmail.com,Yes,Ex-consultant turned indie hacker. Interested in vertical SaaS for underdigitised industries. Looking for a technical partner.,
X6WMVMJ,fdct0eh,2026-03-02 23:01:35,Petra Yamamoto,https://linkedin.com/in/petra-yamamoto-294,Product Manager,Madrid,Yes,,"Developer tools, Data infrastructure",Already full time,petra96@outlook.com,No,Full-stack engineer shipping solo projects. Ready to go full time on the right idea with the right person.,
fUoLOax,X2Mv6WC,2026-02-22 20:30:56,Camila Holmberg,https://linkedin.com/in/camila-holmberg-794,Strategy Consultant,Helsinki,Yes,Climate: Scope 3 emissions data for supply chains. Corporates have the pressure but lack the tooling.,"Developer tools, FinOps, Supply chain",In the next 3 months,cholmberg@fastmail.com,Yes,Ex-consultant turned indie hacker. Interested in vertical SaaS for underdigitised industries. Looking for a technical partner.,
hFwDMli,chKFOwK,2025-12-20 22:34:06,Yuki Leroy,https://linkedin.com/in/yuki-leroy-176,CEO,London,Yes,,"AI / ML infrastructure, AgriTech, Climate / GreenTech",In the next 3 months,yleroy@icloud.com,No,ML engineer with experience at a Series B. Want to build developer tooling for AI evaluation and testing.,
OioYIdv,8NmelDQ,2026-03-02 04:08:21,Remy Sato,https://linkedin.com/in/remy-sato-856,PhD Student,Dublin,Yes,,"HRTech, Consumer AI",In the next 6 months,remy.sato@icloud.com,Yes,Strategy consulting background at a Big 4. Want to build in B2B SaaS. Looking for someone technical.,
E5NQCnD,VYYxyZa,2026-02-04 04:17:28,Bjorn Hernandez,http://linkedin.com/in/bjorn-hernandez-985,VP Product,Zurich,No,,"Data infrastructure, EdTech",Already full time,bjorn.hernandez@hey.com,Yes,Ex-consultant turned indie hacker. Interested in vertical SaaS for underdigitised industries. Looking for a technical partner.,
N4w8mrn,qk0pmkq,2026-02-08 11:52:21,Emre Oh,https://linkedin.com/in/emre-oh-605,Backend Engineer,Munich,Yes,Interested in the compliance and regulatory reporting space for mid-market financial services firms.,FinTech,Already full time,emre_oh@pm.me,Yes,Strategy consulting background at a Big 4. Want to build in B2B SaaS. Looking for someone technical.,
oYO6892,2ei5Xlx,2025-12-27 15:36:04,Omar Murphy,http://linkedin.com/in/omar-murphy-470,Senior ML Engineer,Munich,Yes,Climate: Scope 3 emissions data for supply chains. Corporates have the pressure but lack the tooling.,Data infrastructure,In the next 6 months,omar_murphy@proton.me,Yes,Senior software engineer looking to transition from employment to founding. Interested in developer tools or AI infra.,
K0sjpNr,hFKETWX,2026-02-22 09:48:08,Camila Alves,https://linkedin.com/in/camila-alves-193,AI Engineer,Brussels,No,,Developer tools,Already full time,calves@gmail.com,No,ML engineer with experience at a Series B. Want to build developer tooling for AI evaluation and testing.,
CtxRSEq,y5Kcnm1,2026-03-09 18:18:43,Florian Constantin,https://linkedin.com/in/florian-constantin-227,Software Engineer,Dublin,Yes,Fraud detection and AML for crypto-adjacent fintech. The regulatory pressure is accelerating.,"Open source tooling, Consumer AI, Future of Work",In the next 3 months,florian_constantin@yahoo.com,No,Full-stack engineer shipping solo projects. Ready to go full time on the right idea with the right person.,
fUsGocF,uBAwEqb,2026-02-21 12:45:00,Lena Lee,https://linkedin.com/in/lena-lee-852,Data Engineer,Stockholm,No,,"EdTech, Consumer AI, PropTech",In 6-12 months,lena48@yahoo.com,No,Product manager with domain expertise in healthcare operations. Seeking a technical co-founder for a HealthTech project.,
