api_id,name,first_name,last_name,email,phone_number,created_at,approval_status,checked_in_at,custom_source,qr_code_url,amount,amount_tax,amount_discount,currency,coupon_code,eth_address,solana_address,survey_response_rating,survey_response_feedback,ticket_type_id,ticket_name,What is your LinkedIn profile?,What company do you work for?,What is your job title?,Link to something you've built,Whats your most impressive achievement in the last 3 years?,What is your main goal for this hackathon?,Terms and Conditions
gst-53bYsrERg1i8BZqz,Mikael Kumar,Mikael,Kumar,mikaelkum@gmail.com,,2026-02-17T12:49:14.000Z,approved,2026-02-21T03:01:07.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=OlnZTV1YFjtFi02b,$0.00,$0.00,$0.00,usd,,,,4.0,"Really well organised, loved the energy and quality of other participants.",evtticktyp-FND0000001,Founder,http://linkedin.com/in/mikael-kumar-708,Zalando,Technical Co-Founder,,"Rebuilt the data platform for a Series B startup, cutting infrastructure costs by 40%.",Network with engineers building at the frontier.,Agreed
gst-RqZFNhbxKl1Kvk3U,Rowan Sato,Rowan,Sato,rowan61@gmail.com,,2026-02-18T20:56:48.000Z,approved,2026-02-21T00:12:22.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=QrxkJ71OQqzbWVa4,$0.00,$0.00,$0.00,usd,,,,3.0,"Really well organised, loved the energy and quality of other participants.",evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/rowan-sato-392,SumUp,Data Engineer,https://github.com/rowan-sato/open-source-lib,Designed and deployed a real-time fraud detection system processing 1M+ transactions per day.,Have fun and meet interesting people.,Agreed
gst-30CnsGMKa970IKrQ,Charlie Fischer,Charlie,Fischer,charlie.fischer@yahoo.com,,2026-02-18T18:19:01.000Z,approved,2026-02-21T00:17:31.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=DururO7OlGod1Yzt,$0.00,$0.00,$0.00,usd,,,,5.0,Very impressed by the calibre of projects. Learned a lot.,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/charlie-fischer-132,Celonis,Product Manager,,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Ship a working prototype and get feedback from domain experts.,Agreed
gst-ycRJlTnHW4PF002l,Spencer Nakamura,Spencer,Nakamura,snakamura@fastmail.com,,2026-02-18T07:43:29.000Z,approved,2026-02-21T01:47:31.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=ghqYVlQufwUtWuqs,$0.00,$0.00,$0.00,usd,,,,5.0,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/spencer-nakamura-200,Independent,Research Engineer,,Published a paper at NeurIPS on efficient fine-tuning of large language models.,Meet potential hires for a project I am starting.,Agreed
gst-3F1xsd0imzJ4CtSW,Santiago Ionescu,Santiago,Ionescu,santiago.ionescu@pm.me,,2026-02-16T11:54:31.000Z,approved,2026-02-21T03:12:57.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=ENkNaqVkVEVfMNz7,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,http://linkedin.com/in/santiago-ionescu-541,Personio,Product Manager,,Completed a PhD in ML with a focus on out-of-distribution generalisation.,Ship a working prototype and get feedback from domain experts.,Agreed
gst-UGbaTo2tgFsec6CG,Zara Richter,Zara,Richter,zrichter@pm.me,,2026-02-16T10:44:49.000Z,approved,2026-02-21T02:22:04.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=GAQi9EUk4Ybn9nbF,$0.00,$0.00,$0.00,usd,,,,5.0,"Really well organised, loved the energy and quality of other participants.",evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/zara-richter-552,Aleph Alpha,Principal Engineer,https://github.com/zara-richter/open-source-lib,Published a paper at NeurIPS on efficient fine-tuning of large language models.,Win the hackathon and validate the concept.,Agreed
gst-KcgZchBhpRmQaAgG,Ines Mensah,Ines,Mensah,imensah@fastmail.com,,2026-02-18T11:46:53.000Z,approved,2026-02-21T01:59:05.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=MRz3FMrWELWZ8wzj,$0.00,$0.00,$0.00,usd,,,,4.0,Very impressed by the calibre of projects. Learned a lot.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/ines-mensah-394,Trade Republic,VC Analyst,https://github.com/inesmensah/demo-project,Ran growth experiments that doubled monthly active users in a B2C app over 6 months.,Meet potential hires for a project I am starting.,Agreed
gst-aP4ZPjfFSgpo9sCg,Mikael Leroy,Mikael,Leroy,mikael.leroy@gmail.com,,2026-02-19T02:17:24.000Z,approved,2026-02-21T01:36:23.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=kcsXtTfVc0PkwBM2,$0.00,$0.00,$0.00,usd,,,,3.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/mikael-leroy-384,ex-Stripe,Senior PM,https://huggingface.co/spaces/mikael-leroy,Co-founded a B2B SaaS tool reaching €250K ARR in 18 months with zero outside funding.,Win the hackathon and validate the concept.,Agreed
gst-qx0XOXhRd6jzKXQl,Mehmet Larsen,Mehmet,Larsen,mehmet55@yahoo.com,,2026-02-18T19:20:37.000Z,approved,2026-02-21T01:08:41.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=xwbQZ8i5hzcqtRQV,$0.00,$0.00,$0.00,usd,,,,4.0,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/mehmet-larsen-164,Wise,Strategy Consultant,,Led technical due diligence for a €20M Series A at a VC firm.,Have fun and meet interesting people.,Agreed
gst-ATDPNjZ3Ma5FDEkU,Ingrid Wisniewski,Ingrid,Wisniewski,ingrid_wisniewski@outlook.com,,2026-02-17T00:18:36.000Z,approved,2026-02-21T03:38:01.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=turFIxYeBJfEt8Ub,$0.00,$0.00,$0.00,usd,,,,5.0,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/ingrid-wisniewski-573,Zalando,Technical Co-Founder,https://github.com/ingridwisniewski/demo-project,Completed a PhD in ML with a focus on out-of-distribution generalisation.,Build something I can show to early customers.,Agreed
gst-3IOCvZY0uVLSwCgO,Arjun Johansson,Arjun,Johansson,ajohansson@icloud.com,,2026-02-16T10:36:33.000Z,approved,2026-02-21T01:40:17.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=awNXHxg3EYUzpmh0,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/arjun-johansson-583,ex-Meta,CTO,https://github.com/arjun-johansson/open-source-lib,"Rebuilt the data platform for a Series B startup, cutting infrastructure costs by 40%.",Meet potential hires for a project I am starting.,Agreed
gst-cNPh3CKF7aTIAK5W,Reese Gruber,Reese,Gruber,reese.gruber@proton.me,,2026-02-18T20:02:31.000Z,approved,2026-02-21T03:05:39.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=4QkYgOLt2zLQpyvs,$0.00,$0.00,$0.00,usd,,,,5.0,Best hackathon I have been to in London. Will come back.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/reese-gruber-283,Celonis,Solutions Architect,,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Explore a specific product idea I have been sitting on.,Agreed
gst-S6NmMsvP8O7FRthv,Mikael Yamamoto,Mikael,Yamamoto,myamamoto@icloud.com,,2026-02-17T14:03:18.000Z,approved,2026-02-21T02:44:27.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=DJPzU0r0YGbjPmUj,$0.00,$0.00,$0.00,usd,,,,5.0,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/mikael-yamamoto-381,Independent,Product Manager - AI,https://github.com/mikael-yamamoto/open-source-lib,Scaled a backend system from 10K to 5M daily active users across two data centres.,Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-wCMPInOyFXRQcxzW,Lucas Durand,Lucas,Durand,lucas15@yahoo.com,,2026-02-16T18:39:45.000Z,approved,2026-02-21T03:15:05.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=Q7dUm11BnNRwKTmS,$0.00,$0.00,$0.00,usd,,,,5.0,Solid event. The partner tech tracks were well thought out.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/lucas-durand-137,Checkout.com,Senior ML Engineer,https://github.com/lucasdurand/demo-project,"Rebuilt the data platform for a Series B startup, cutting infrastructure costs by 40%.",Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-7Thcrqj0aC6c5LVM,Rafael Hutter,Rafael,Hutter,rafael.hutter@pm.me,,2026-02-17T16:40:54.000Z,approved,2026-02-21T01:14:56.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=0sWIeRG7GWjHzv2P,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/rafael-hutter-329,Checkout.com,Co-Founder,https://huggingface.co/spaces/rafael-hutter,"Led a team that automated 70% of manual ops workflows, saving 200+ engineer-hours per month.",Win the hackathon and validate the concept.,Agreed
gst-hvoN4pc2xXhpSbGV,Priya Wolf,Priya,Wolf,priyawol@icloud.com,,2026-02-17T05:22:38.000Z,approved,2026-02-21T01:27:19.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=FFEsOtff8VHMnNnQ,$0.00,$0.00,$0.00,usd,,,,3.0,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/priya-wolf-802,Darktrace,Co-Founder,https://github.com/priyawolf/demo-project,Published a paper at NeurIPS on efficient fine-tuning of large language models.,Network with engineers building at the frontier.,Agreed
gst-bScelpeY4zBztyha,Casey Ricci,Casey,Ricci,cricci@gmail.com,,2026-02-17T23:09:29.000Z,approved,2026-02-21T03:25:10.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=SdUc0wFrQLr5xYbj,$0.00,$0.00,$0.00,usd,,,,4.0,Best hackathon I have been to in London. Will come back.,evtticktyp-RES0000001,Researcher / Student,https://linkedin.com/in/casey-ricci-717,Wayve,Researcher,https://huggingface.co/spaces/casey-ricci,Won first place at a national AI hackathon with a clinical NLP tool.,Explore a specific product idea I have been sitting on.,Agreed
gst-P4XTx6IIhaKH6sU4,Tariq Sharma,Tariq,Sharma,tariq_sharma@icloud.com,,2026-02-18T14:22:37.000Z,approved,2026-02-21T02:01:22.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=vzOFjnZmlX0059CI,$0.00,$0.00,$0.00,usd,,,,5.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-FND0000001,Founder,https://linkedin.com/in/tariq-sharma-435,Own startup,Technical Co-Founder,https://github.com/tariq-sharma/open-source-lib,Scaled a backend system from 10K to 5M daily active users across two data centres.,Find a co-founder with complementary skills.,Agreed
gst-hOgM3tBMsKJwtAap,Bjorn Moreau,Bjorn,Moreau,bjorn90@hey.com,,2026-02-17T02:15:16.000Z,approved,2026-02-21T01:03:40.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=nTB0iT2CwsIkL01i,$0.00,$0.00,$0.00,usd,,,,3.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/bjorn-moreau-897,Google,ML Engineer,https://github.com/bjorn-moreau/open-source-lib,Ran growth experiments that doubled monthly active users in a B2C app over 6 months.,Network with engineers building at the frontier.,Agreed
gst-30NYJVncq3HOjy3K,Cameron Baumann,Cameron,Baumann,cameron_baumann@gmail.com,,2026-02-17T03:10:05.000Z,approved,2026-02-21T02:52:02.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=1iFfwao78QUijJJ2,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/cameron-baumann-999,N26,Software Engineer,https://github.com/cameronbaumann/demo-project,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Meet potential hires for a project I am starting.,Agreed
gst-qoPGXy42cOg8NqTJ,Avery Ionescu,Avery,Ionescu,avery.ionescu@pm.me,,2026-02-19T04:23:19.000Z,approved,2026-02-21T01:18:34.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=JxxK3ep8nzYvX3a2,$0.00,$0.00,$0.00,usd,,,,3.0,Solid event. The partner tech tracks were well thought out.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/avery-ionescu-190,Stealth,VC Analyst,https://github.com/averyionescu/demo-project,Raised a pre-seed round of €500K and launched an MVP within 90 days.,Explore a specific product idea I have been sitting on.,Agreed
gst-lwShoYSDDnjZbcJj,Jamie Hansen,Jamie,Hansen,jamie86@outlook.com,,2026-02-17T00:44:50.000Z,approved,2026-02-21T00:54:52.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=NcJdql7LIbSPrfB9,$0.00,$0.00,$0.00,usd,,,,5.0,Solid event. The partner tech tracks were well thought out.,evtticktyp-FND0000001,Founder,https://linkedin.com/in/jamie-hansen-981,SumUp,CEO,https://huggingface.co/spaces/jamie-hansen,Architected a zero-downtime deployment system across 12 microservices.,Explore a specific product idea I have been sitting on.,Agreed
gst-MFkQ5KexibG4QZLl,Lucas Hoffmann,Lucas,Hoffmann,lucashof@yahoo.com,,2026-02-16T23:58:24.000Z,approved,2026-02-21T03:07:27.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=3L2GUfO3Ha6QAA2R,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/lucas-hoffmann-686,Darktrace,Product Manager,https://huggingface.co/spaces/lucas-hoffmann,Built an internal LLM evaluation framework adopted across the entire engineering org.,Network with engineers building at the frontier.,Agreed
gst-ApV4fLHpaUaGGxmX,Emre Celik,Emre,Celik,emre.celik@icloud.com,,2026-02-19T04:20:01.000Z,approved,2026-02-21T03:14:24.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=zgAKqHJL9ymIIlID,$0.00,$0.00,$0.00,usd,,,,4.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/emre-celik-308,Freelance,Data Engineer,https://github.com/emrecelik/demo-project,Scaled a backend system from 10K to 5M daily active users across two data centres.,Have fun and meet interesting people.,Agreed
gst-UBRknyuIRRj7afj5,Petra Sousa,Petra,Sousa,petra11@fastmail.com,,2026-02-17T09:04:30.000Z,approved,2026-02-21T02:44:21.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=Adnecx9MGSL6YNBm,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/petra-sousa-633,Zalando,Product Manager - AI,https://github.com/petrasousa/demo-project,Created a developer tool that reduced onboarding time from 2 weeks to 3 days.,Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-wO8fryPzmaR4ITIK,Leon Greco,Leon,Greco,leongre@yahoo.com,,2026-02-16T22:10:51.000Z,approved,2026-02-21T00:44:02.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=vYo7CzakFIFvhFpH,$0.00,$0.00,$0.00,usd,,,,4.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/leon-greco-889,Monzo,Principal Engineer,https://github.com/leongreco/demo-project,Led technical due diligence for a €20M Series A at a VC firm.,Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-7CCKbheN9Pot7GaZ,Andrei Rusu,Andrei,Rusu,andreirus@icloud.com,,2026-02-18T10:32:58.000Z,approved,2026-02-21T01:43:41.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=pfPYe5Dv3q6Q4EmT,$0.00,$0.00,$0.00,usd,,,,3.0,Solid event. The partner tech tracks were well thought out.,evtticktyp-FND0000001,Founder,https://linkedin.com/in/andrei-rusu-580,Checkout.com,Indie Hacker,https://github.com/andrei-rusu/open-source-lib,"Shipped 0-to-1 product that acquired 10,000 users in 3 months with no paid marketing.",Network with engineers building at the frontier.,Agreed
gst-he7Ea170xt32JrlV,Nadia Moser,Nadia,Moser,nadia.moser@pm.me,,2026-02-17T00:41:25.000Z,approved,2026-02-21T00:51:29.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=FyUhGA6cv1WChGta,$0.00,$0.00,$0.00,usd,,,,5.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-PFND000001,Pre-Founder,http://linkedin.com/in/nadia-moser-765,Poolside,Product Manager,https://github.com/nadiamoser/demo-project,"Rebuilt the data platform for a Series B startup, cutting infrastructure costs by 40%.",Build something I can show to early customers.,Agreed
gst-oDMwEnRx0rliJogq,Ivan Bjork,Ivan,Bjork,ivan.bjork@gmail.com,,2026-02-18T02:18:27.000Z,approved,2026-02-21T00:41:08.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=oAxj7jXkE90GSWsI,$0.00,$0.00,$0.00,usd,,,,5.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-FND0000001,Founder,https://linkedin.com/in/ivan-bjork-616,Mistral AI,Pre-Founder,https://github.com/ivan-bjork/open-source-lib,Led technical due diligence for a €20M Series A at a VC firm.,Ship a working prototype and get feedback from domain experts.,Agreed
gst-YDNBuwI5pbh17mJO,Quinn Gheorghe,Quinn,Gheorghe,quinn_gheorghe@fastmail.com,,2026-02-17T13:00:38.000Z,approved,2026-02-21T00:27:48.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=kWwPET3xrNikYuNJ,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/quinn-gheorghe-858,Monzo,Senior PM,https://huggingface.co/spaces/quinn-gheorghe,Co-founded a B2B SaaS tool reaching €250K ARR in 18 months with zero outside funding.,Find a co-founder with complementary skills.,Agreed
gst-Ly3W6UGBk0hopUUn,Petra Wojcik,Petra,Wojcik,petrawoj@proton.me,,2026-02-16T19:47:47.000Z,approved,2026-02-21T01:21:51.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=yf6DdVG9gMf5yoTB,$0.00,$0.00,$0.00,usd,,,,5.0,Very impressed by the calibre of projects. Learned a lot.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/petra-wojcik-799,Faculty,AI Engineer,https://github.com/petra-wojcik/open-source-lib,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Explore a specific product idea I have been sitting on.,Agreed
gst-1uD8HqB8RkLNNIGN,Maren Hansen,Maren,Hansen,maren_hansen@hey.com,,2026-02-17T22:21:22.000Z,approved,2026-02-21T02:31:55.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=tvHXBwqsaY0vDa56,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,http://linkedin.com/in/maren-hansen-878,Independent,Principal Engineer,https://github.com/maren-hansen/open-source-lib,Architected a zero-downtime deployment system across 12 microservices.,Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-Hl2BpSOZneMGXMRq,Kendall Andersson,Kendall,Andersson,kendall81@hey.com,,2026-02-16T08:39:54.000Z,approved,2026-02-21T03:08:51.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=OGqleigCCREtj8b8,$0.00,$0.00,$0.00,usd,,,,5.0,Solid event. The partner tech tracks were well thought out.,evtticktyp-FND0000001,Founder,https://linkedin.com/in/kendall-andersson-326,Revolut,Founder,https://github.com/kendallandersson/demo-project,Scaled a backend system from 10K to 5M daily active users across two data centres.,Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-fanAWExRbeUjqyHl,Riley Martin,Riley,Martin,riley56@yahoo.com,,2026-02-16T17:06:18.000Z,approved,2026-02-21T02:54:44.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=3pxa8Sx8p9mTfPmy,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/riley-martin-167,Microsoft,CTO,https://huggingface.co/spaces/riley-martin,Scaled a backend system from 10K to 5M daily active users across two data centres.,Win the hackathon and validate the concept.,Agreed
gst-DswdP8oAaXKyp8KQ,Casey Leroy,Casey,Leroy,casey_leroy@outlook.com,,2026-02-16T19:32:59.000Z,approved,2026-02-21T01:55:14.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=QjVpEQu8VdwjHgEt,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/casey-leroy-765,ex-Google,DevOps Engineer,https://github.com/casey-leroy/open-source-lib,Ran growth experiments that doubled monthly active users in a B2C app over 6 months.,Win the hackathon and validate the concept.,Agreed
gst-wi3EBsRllvTrZ4Ie,Zara Andersson,Zara,Andersson,zara20@fastmail.com,,2026-02-18T18:39:23.000Z,approved,2026-02-21T03:26:31.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=jsqwaNxlb1WoSOHy,$0.00,$0.00,$0.00,usd,,,,4.0,"Really well organised, loved the energy and quality of other participants.",evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/zara-andersson-469,Faculty,Senior PM,,Created a developer tool that reduced onboarding time from 2 weeks to 3 days.,Meet potential hires for a project I am starting.,Agreed
gst-NgGeZi2mEgJZOGRp,Sage Costa,Sage,Costa,scosta@hey.com,,2026-02-18T15:45:32.000Z,approved,2026-02-21T02:18:15.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=wLe5mE3eXdI6zwRZ,$0.00,$0.00,$0.00,usd,,,,5.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/sage-costa-979,Google,Product Manager - AI,,"Shipped 0-to-1 product that acquired 10,000 users in 3 months with no paid marketing.",Test whether a technical idea is feasible in a constrained time window.,Agreed
